gtin,pname,vname,vlocation
8107880273912,"Outlaw Bullets - Texas Outlaw Fireworks","Outlaw Bullets.mp4",/media/pi/VIDEOS/videos
8107880271512,"Outlaw Trucker","Outlaw Trucker.mp4",/media/pi/VIDEOS/videos
8143270167119,"Pirates Code","Pirates Code.mp4",/media/pi/VIDEOS/videos
8107880274810,"POLAR - Texas Outlaw","Polar Divide.mp4",/media/pi/VIDEOS/videos
8143270165214,"Red Rhino Psycho Therapy","Psycho Therapy.mp4",/media/pi/VIDEOS/videos
8143270161513,"RACE MAKER - Red Rhino","Race Maker.mp4",/media/pi/VIDEOS/videos
8143270166716,Ravaged,Ravaged.mp4,/media/pi/VIDEOS/videos
8143270195815,"Rise Of Power - Red Rhino Fireworks","Rise Of Power.mp4",/media/pi/VIDEOS/videos
8143270163517,"Red Rhino Roping",Roping.mp4,/media/pi/VIDEOS/videos
8143270162312,"SEASONS OF CHANGE - Red Rhino","Seasons of Change.mp4",/media/pi/VIDEOS/videos
8143270167010,Showbox,Showbox.mp4,/media/pi/VIDEOS/videos
8107880275817,"Sinister - Hog Wild Fireworks",Sinister.mp4,/media/pi/VIDEOS/videos
8143270195419,"Steel Fury","Steel Fury.mp4",/media/pi/VIDEOS/videos
8143270169519,"Summer Treat","Summer Treat.mp4",/media/pi/VIDEOS/videos
8107880274919,"SUPER CHARGED - Red Rhino","Super Charged.mp4",/media/pi/VIDEOS/videos
8107880276111,"The Hammer - Texas Outlaw Fireworks","The Hammer.mp4",/media/pi/VIDEOS/videos
8143270168413,"Topping Out","Topping Out.mp4",/media/pi/VIDEOS/videos
8143270164118,"Red Rhino Universal Darkness","Universal Darkness.mp4",/media/pi/VIDEOS/videos
8143270164217,"VACATION DESTINATION - Red Rhino","Vacation Destination.mp4",/media/pi/VIDEOS/videos
8143270196010,"Whistlin Dixie - Red Rhino Fireworks","Whistlin Dixie.mp4",/media/pi/VIDEOS/videos
8143270173714,"WHITE STAG - Red Rhino","White Stag.mp4",/media/pi/VIDEOS/videos
191970102099,"Search and Destroy","Search and Destroy.mp4",/media/pi/VIDEOS/videos
8143270195914,"Sniper Shot","Sniper Shot.mp4",/media/pi/VIDEOS/videos
8107880245216,"The Judge Artillery - 60g Canisters - Texas Outlaw Fireworks","The Judge Artillery.mp4",/media/pi/VIDEOS/videos
8143270174018,"Premium Artillery","Premium Artillery.mp4",/media/pi/VIDEOS/videos
191970105212,"Premium Crackling Artillery","Premium Crackling Artillery.mp4",/media/pi/VIDEOS/videos
8107880244417,"Texas Loud Texas Proud","Texas Loud Texas Proud.mp4",/media/pi/VIDEOS/videos
8143270171413,"Red White and Boom","Red White and Boom.mp4",/media/pi/VIDEOS/videos
8107880244714,"Undertaker Artillery","Undertaker Artillery.mp4",/media/pi/VIDEOS/videos
8143270170812,"Ace of Spades","Ace of Spades.mp4",/media/pi/VIDEOS/videos
8107880244813,"King Of Clubs Artillery - Stacked Deck Series","King Of Clubs Artillery - Stacked Deck Series.mp4",/media/pi/VIDEOS/videos
8143270173516,"Max'd Out","Max'd Out.mp4",/media/pi/VIDEOS/videos
8143270171710,"4 Ever America","4 Ever America.mp4",/media/pi/VIDEOS/videos
8107880241713,"Double Blast","Double Blast.mp4",/media/pi/VIDEOS/videos
8107880241812,"Double Blast Blister Pack 6","Double Blast.mp4",/media/pi/VIDEOS/videos
8143270171819,"Double Threat","Double Threat.mp4",/media/pi/VIDEOS/videos
8143270172014,"Triple Threat","Triple Threat.mp4",/media/pi/VIDEOS/videos
8143270172113,"Decimator Ball Shells","Decimator Ball Shells.mp4",/media/pi/VIDEOS/videos
8107880242413,"Extreme Nitro","Extreme Nitro.mp4",/media/pi/VIDEOS/videos
8107880245117,"Hog Wild Pyro","Hog Wild Pyro.mp4",/media/pi/VIDEOS/videos
8107880245612,"Outlaw Crate","Outlaw Crate.mp4",/media/pi/VIDEOS/videos
8143270172212,"Power of Pride","Power of Pride.mp4",/media/pi/VIDEOS/videos
8143270181016,"#200 Assorted Tubes","#200 Assorted Tubes.mp4",/media/pi/VIDEOS/videos
8143270181115,"#400 Assorted Tubes","#400 Assorted Tubes.mp4",/media/pi/VIDEOS/videos
8107880273318,"#500 Texas Collection","#500 Texas Collection.mp4",/media/pi/VIDEOS/videos
8143270157813,"PATRIOT TORCH - Red Rhino","Patriot Torch.mp4",/media/pi/VIDEOS/videos
8107880257318,"Tracer Rounds - Hog Wild Fireworks - 200g Roman Candle","Tracer Rounds.mp4",/media/pi/VIDEOS/videos
8143270111310,"Red Rhino Blue Angels Roman Candle","Blue Angels Roman Candle.mp4",/media/pi/VIDEOS/videos
8107880234913,"Bull Whip Candles","Bull Whip.mp4",/media/pi/VIDEOS/videos
8143270113017,"Red Rhino Staff Of Ra Roman Candle","Staff Of Ra Roman Candle.mp4",/media/pi/VIDEOS/videos
191970108015,"America's Candle","America's Candle.mp4",/media/pi/VIDEOS/videos
8107880235019,Gambler,Gambler.mp4,/media/pi/VIDEOS/videos
8107880235118,"Gun Fighter","Gun Fighter.mp4",/media/pi/VIDEOS/videos
8143270111716,"Raging Rhino Roman Candle","Raging Rhino Roman Candle.mp4",/media/pi/VIDEOS/videos
8143270111815,"Snub Nose 38","Snub Nose 38.mp4",/media/pi/VIDEOS/videos
8107880217114,"Bring the Rain","Bring the Rain.mp4",/media/pi/VIDEOS/videos
191970100514,"Moon Breaker","Moon Breaker.mp4",/media/pi/VIDEOS/videos
8107880219910,"Rocket Fire","Rocket Fire.mp4",/media/pi/VIDEOS/videos
8143270122613,"Ring Rocket","Ring Rocket.mp4",/media/pi/VIDEOS/videos
191970100613,"Seven Sabres","Seven Sabres.mp4",/media/pi/VIDEOS/videos
8143270124921,"Sun God","Sun God.mp4",/media/pi/VIDEOS/videos
8143270133213,"Jumbo Strobes Large","Jumbo Strobes Large.mp4",/media/pi/VIDEOS/videos
8143270134418,"Rubber Ducky","Rubber Ducky.mp4",/media/pi/VIDEOS/videos
8143270131417,UFO,UFO.mp4,/media/pi/VIDEOS/videos
8107880266518,"American Graceland - Hog Wild Fireworks","American Grace.mp4",/media/pi/VIDEOS/videos
8143270160714,"AMERICAN HEART - Red Rhino","American Heart.mp4",/media/pi/VIDEOS/videos
8143270160318,"Red Rhino Archangel",Archangel.mp4,/media/pi/VIDEOS/videos
8143270166211,"Red Rhino Big Bad Wolf","Big Bad Wolf.mp4",/media/pi/VIDEOS/videos
8143270195716,"Big Red","Big Red.mp4",/media/pi/VIDEOS/videos
8143270161315,"BORN TO RIDE - Red Rhino","Born to Ride.mp4",/media/pi/VIDEOS/videos
8107880273219,"CHEERS - Texas Outlaw",Cheers!.mp4,/media/pi/VIDEOS/videos
8143270173813,"Christmas Lights","Christmas Lights.mp4",/media/pi/VIDEOS/videos
8143270162817,"Classic Muscle - Red Rhino Fireworks","Classic Muscle.mp4",/media/pi/VIDEOS/videos
8143270164613,"Red Rhino Dragon Gold","Dragon Gold.mp4",/media/pi/VIDEOS/videos
8107880276319,"Duck and Cover - Texas Outlaw Fireworks - New For 2017 Teaser","Duck and Cover - Texas Outlaw Fireworks - New For 2017 Teaser.mp4",/media/pi/VIDEOS/videos
8107880274117,"Eye in the Sky","Eye in the Sky.mp4",/media/pi/VIDEOS/videos
8107880266815,"Fat and Sassy","Fat and Sassy.mp4",/media/pi/VIDEOS/videos
8143270162114,"FIRE OVER WATER - Red Rhino","Fire Over Water.mp4",/media/pi/VIDEOS/videos
8143270166518,Firehorse,"Fire Horse.mp4",/media/pi/VIDEOS/videos
8143270161612,"French Quarter Frenzy","French Quarter Frenzy.mp4",/media/pi/VIDEOS/videos
8107880267614,"Hell Fire - Hog Wild Fireworks","Hell Fire.mp4",/media/pi/VIDEOS/videos
8143270168314,"High Tide","High Tide.mp4",/media/pi/VIDEOS/videos
8143270162015,"Red Rhino Holy Moly","Holy Moly.mp4",/media/pi/VIDEOS/videos
8143270169212,"In Tribute","In Tribute.mp4",/media/pi/VIDEOS/videos
8107880274612,"LIGHT 'EM UP - Hog Wild","Light'Em Up.mp4",/media/pi/VIDEOS/videos
8107880268512,"Loaded Gun - Texas Outlaw Fireworks","Loaded Gun.mp4",/media/pi/VIDEOS/videos
8107880268918,"Men of Steel","Men of Steel.mp4",/media/pi/VIDEOS/videos
8107880274216,"Miss Direction","Miss Direction.mp4",/media/pi/VIDEOS/videos
8143270168611,"Cherry Drop","Cherry Drop.mp4",/media/pi/VIDEOS/videos
8107880269212,"New Orleans Nights","New Orleans Nights.mp4",/media/pi/VIDEOS/videos
191970101610,"Road Show","Road Show.mp4",/media/pi/VIDEOS/videos
8143270161711,"Rolling Deep","Rolling Deep.mp4",/media/pi/VIDEOS/videos
8107880275718,"Second Amendment","Second Amendment.mp4",/media/pi/VIDEOS/videos
8107880275312,Showstopper,Showstopper.mp4,/media/pi/VIDEOS/videos
191970101511,"Sky Shooter","Sky Shooter.mp4",/media/pi/VIDEOS/videos
191970101894,"Walk the Line","Walk the Line.mp4",/media/pi/VIDEOS/videos
8107880276012,Warbird,Warbird.mp4,/media/pi/VIDEOS/videos
8143270161919,"Haulin' Ass","Haulin' Ass.mp4",/media/pi/VIDEOS/videos
8107880275213,Ninjustu,Ninjustu.mp4,/media/pi/VIDEOS/videos
8143270161216,"The One","The One.mp4",/media/pi/VIDEOS/videos
8143270168819,"Nut Buster","Nut Buster.mp4",/media/pi/VIDEOS/videos
8107880270010,"Pride of Texas","Pride of Texas.mp4",/media/pi/VIDEOS/videos
191970101412,"Pyro World","Pyro World.mp4",/media/pi/VIDEOS/videos
8107880275916,"Storm Chaser","Storm Chaser.mp4",/media/pi/VIDEOS/videos
191970101917,"Classic Intensity","Classic Intensity.mp4",/media/pi/VIDEOS/videos
8107880269519,"One Bad Outlaw","One Bad Outlaw.mp4",/media/pi/VIDEOS/videos
8143270169618,"One Tough Customer","One Tough Customer.mp4",/media/pi/VIDEOS/videos
8107880269113,"Open Carry","Open Carry.mp4",/media/pi/VIDEOS/videos
8107880269816,"Outlaw Woman","Outlaw Woman.mp4",/media/pi/VIDEOS/videos
191970101719,"Patriot Arms","Patriot Arms.mp4",/media/pi/VIDEOS/videos
8107880275411,Phoenix,Phoenix.mp4,/media/pi/VIDEOS/videos
8107880274315,"Poseidons Wrath","Poseidons Wrath.mp4",/media/pi/VIDEOS/videos
191970101290,"Pyro Gal","Pyro Gal.mp4",/media/pi/VIDEOS/videos
8107880271017,"Sidearm Showdown","Sidearm Showdown.mp4",/media/pi/VIDEOS/videos
8143270169311,"Right of Might","Right of Might.mp4",/media/pi/VIDEOS/videos
8107880275015,"Rock of Ages","Rock of Ages.mp4",/media/pi/VIDEOS/videos
8107880275114,Talkaboutit!,Talkaboutit!.mp4,/media/pi/VIDEOS/videos
191970108718,Revolver,Revolver.mp4,/media/pi/VIDEOS/videos
191970108411,Rifle,Rifle.mp4,/media/pi/VIDEOS/videos
191970108619,Semiauto,Semiauto.mp4,/media/pi/VIDEOS/videos
191970108510,Shotgun,Shotgun.mp4,/media/pi/VIDEOS/videos
8143270155918,"Dragon Lady","Dragon Lady.mp4",/media/pi/VIDEOS/videos
8107880251019,"Freedom's Wings","Freedom's Wings.mp4",/media/pi/VIDEOS/videos
8107880257417,"Just Plane Fun","Just Plane Fun.mp4",/media/pi/VIDEOS/videos
8143270151019,"Made to Order","Made to Order.mp4",/media/pi/VIDEOS/videos
191970108312,"Our Baby Reveal","Baby Reveals.mp4",/media/pi/VIDEOS/videos
8143270152610,"Mighty Cobra","Mighty Cobra.mp4",/media/pi/VIDEOS/videos
191970101313,Crossfire,Crossfire.mp4,/media/pi/VIDEOS/videos
8143270122118,"#8 Rockets.mp4","#8 Rockets.mp4",/media/pi/VIDEOS/videos
8107880266419,"Dagger's Edge.mp4","Dagger's Edge.mp4",/media/pi/VIDEOS/videos
8143270164514,"Bad Habit.mp4","Bad Habit.mp4",/media/pi/VIDEOS/videos
8143270123610,"Jumbo Ground Bloom Flower With Crackle.mp4","Jumbo Ground Bloom Flower With Crackle.mp4",/media/pi/VIDEOS/videos
8143270163715,"Red Rhino Southern Comfort","Southern Comfort.mp4",/media/pi/VIDEOS/videos
8143270162619,"True Rebel","True Rebel.mp4",/media/pi/VIDEOS/videos
191970105311,"Premium Whistling Artillery","Premium Whistling Artillery.mp4",/media/pi/VIDEOS/videos
8143270173615,"Mini Max'd Out","Max'd Out.mp4",/media/pi/VIDEOS/videos
8107880245414,"The Judge Artillery - 60g Canisters - Texas Outlaw Fireworks","The Judge Artillery.mp4",/media/pi/VIDEOS/videos
8107880245018,"Lord of War","Lord of War.mp4",/media/pi/VIDEOS/videos
8107880270713,".38 Special - Hog Wild","38 Special.mp4",/media/pi/VIDEOS/videos
8143270157714,"Colorful Skies","Colorful Skies.mp4",/media/pi/VIDEOS/videos
8143270180217,"100 Shot Saturn Missile","100 Shot Saturn Missile Battery.mp4",/media/pi/VIDEOS/videos
8107880271710,"Designated Driver.mp4","Designated Driver.mp4",/media/pi/VIDEOS/videos
8143270162411,"Locked In.mp4","Locked In.mp4",/media/pi/VIDEOS/videos
8143270113413,"No 10 Red River Sparklers.mp4","No 10 Red River Sparklers.mp4",/media/pi/VIDEOS/videos
8143270113512,"No 20 Color Sparklers.mp4","No 20 Color Sparklers.mp4",/media/pi/VIDEOS/videos
8143270162510,"Primordial Fire.mp4","Primordial Fire.mp4",/media/pi/VIDEOS/videos
8107880228615,Vulcanism.mp4,Vulcanism.mp4,/media/pi/VIDEOS/videos
8143270196218,"Air Power - 500g Cake - Red Rhino Fireworks","Air Power.mp4",/media/pi/VIDEOS/videos
8107880273110,"Air Supremacy - Hog Wild Fireworks","Air Supremacy.mp4",/media/pi/VIDEOS/videos
8143270156618,"Road Construction","Road Construction.mp4",/media/pi/VIDEOS/videos
8052531505815,"Americas Celebration.mp4","Americas Celebration.mp4",/media/pi/VIDEOS/videos
8052531545613,"WC AMERICAS PASTTIME.mp4","WC AMERICAS PASTTIME.mp4",/media/pi/VIDEOS/videos
8052531508113,"Midnight Sunburn.mp4","Midnight Sunburn.mp4",/media/pi/VIDEOS/videos
8052531545415,"WC SAY WHAT.mp4","WC SAY WHAT.mp4",/media/pi/VIDEOS/videos
8052531540519,"Courtesy Of The Red, White, And Blue.mov","Courtesy Of The Red, White, And Blue.mov",/media/pi/VIDEOS/videos
8052531318712,"Extreme Machine.mp4","Extreme Machine.mp4",/media/pi/VIDEOS/videos
8052531530015,"2015 WC 33 BATTLE CRY.mp4","2015 WC 33 BATTLE CRY.mp4",/media/pi/VIDEOS/videos
8052531525110,"2015 WC 38 EVIL, WICKED, MEAN, AND NASTY.mp4","2015 WC 38 EVIL, WICKED, MEAN, AND NASTY.mp4",/media/pi/VIDEOS/videos
8052531343417,"WC BUG EYED.mp4","WC BUG EYED.mp4",/media/pi/VIDEOS/videos
8052531343219,"WC BITE YOUR TUSHY.mp4","WC BITE YOUR TUSHY.mp4",/media/pi/VIDEOS/videos
8052531342311,"WC THINK TWICE.mp4","WC THINK TWICE.mp4",/media/pi/VIDEOS/videos
8052531337614,"Smiling Face.mp4","Smiling Face.mp4",/media/pi/VIDEOS/videos
8052531342212,"WC HOT DOG.mp4","WC HOT DOG.mp4",/media/pi/VIDEOS/videos
8052530130117,"Land of the Free.mp4","Land of the Free.mp4",/media/pi/VIDEOS/videos
8052531338314,Whiplash.mp4,Whiplash.mp4,/media/pi/VIDEOS/videos
8052531545118,"WC CHICKABOO.mp4","WC CHICKABOO.mp4",/media/pi/VIDEOS/videos
805253300606,"2015 WC 68 BE HAPPY.mp4","2015 WC 68 BE HAPPY.mp4",/media/pi/VIDEOS/videos
8052530141311,"2015 WC CRACKLING ARTILLERY.mp4","2015 WC CRACKLING ARTILLERY.mp4",/media/pi/VIDEOS/videos
8052530140116,Excalibur.mp4,Excalibur.mp4,/media/pi/VIDEOS/videos
8052530140413,"2015 WC GOLIATH.mp4","2015 WC GOLIATH.mp4",/media/pi/VIDEOS/videos
8052530145319,"2015 WC MOAB.mp4","2015 WC MOAB.mp4",/media/pi/VIDEOS/videos
8052530143513,"2015 WC PREMIUM ARTILLERY .mp4","2015 WC PREMIUM ARTILLERY .mp4",/media/pi/VIDEOS/videos
8052530140819,"2015 WC SUPER MAGNUM.mp4","2015 WC SUPER MAGNUM.mp4",/media/pi/VIDEOS/videos
8052530140215,"2015 WC TRILOGY .mp4","2015 WC TRILOGY .mp4",/media/pi/VIDEOS/videos
805253301306,"Alien Fountain.mp4","Alien Fountain.mp4",/media/pi/VIDEOS/videos
8052531145516,Amazing.mov,Amazing.mov,/media/pi/VIDEOS/videos
8052531341116,"America The Beautiful.mov","America The Beautiful.mov",/media/pi/VIDEOS/videos
805253301771,"American Anthem.mp4","American Anthem.mp4",/media/pi/VIDEOS/videos
8052531512318,"American Intensity.mp4","American Intensity.mp4",/media/pi/VIDEOS/videos
8052531502517,"American Rhythm.mov","American Rhythm.mov",/media/pi/VIDEOS/videos
8052531336716,"At It Again.mp4","At It Again.mp4",/media/pi/VIDEOS/videos
8052531312611,"Bada Bing.mp4","Bada Bing.mp4",/media/pi/VIDEOS/videos
8052531136316,Behemoth.mp4,Behemoth.mp4,/media/pi/VIDEOS/videos
805253301887,Believe.mp4,Believe.mp4,/media/pi/VIDEOS/videos
805253302921,"Big Gun.mp4","Big Gun.mp4",/media/pi/VIDEOS/videos
8052531515913,"Black Dynamite.mp4","Black Dynamite.mp4",/media/pi/VIDEOS/videos
8052531606215,"BM MINI LASER.mp4","BM MINI LASER.mp4",/media/pi/VIDEOS/videos
8052530162415,"BM ORIENTAL DRAGON.mp4","BM ORIENTAL DRAGON.mp4",/media/pi/VIDEOS/videos
8052531337218,"Bomb Chicka Bomb Bomb.mp4","Bomb Chicka Bomb Bomb.mp4",/media/pi/VIDEOS/videos
8052531309710,"Boomer 6 Assorted 16 Shots.mp4","Boomer 6 Assorted 16 Shots.mp4",/media/pi/VIDEOS/videos
8052531514619,Boss.mp4,Boss.mp4,/media/pi/VIDEOS/videos
8052531142614,Breathless.mp4,Breathless.mp4,/media/pi/VIDEOS/videos
8052531530510,"Captain Jake.mp4","Captain Jake.mp4",/media/pi/VIDEOS/videos
8052531514213,Chaos.mp4,Chaos.mp4,/media/pi/VIDEOS/videos
8052531511410,"Chicken on a Chain.mp4","Chicken on a Chain.mp4",/media/pi/VIDEOS/videos
805253301641,Chinatown.mp4,Chinatown.mp4,/media/pi/VIDEOS/videos
8052530222812,"Circus Peanuts.mov","Circus Peanuts.mov",/media/pi/VIDEOS/videos
8052531530916,"Come On.mp4","Come On.mp4",/media/pi/VIDEOS/videos
8052531317715,"Crazy Exciting.mp4","Crazy Exciting.mp4",/media/pi/VIDEOS/videos
805253338111,"Critical Acclaim.mp4","Critical Acclaim.mp4",/media/pi/VIDEOS/videos
8052531313618,"Deja Blue.mp4","Deja Blue.mp4",/media/pi/VIDEOS/videos
8052531531012,Dragon.mp4,Dragon.mp4,/media/pi/VIDEOS/videos
